"time [h]"	"axial strain[%]"	"radial strain[%]"	"diff. stress[MPa]"	"eff. mean stress[MPa]"	"mean u[MPa]"
0.00	0.00	0.00	0.20	10.07	3.49
0.01	0.00	0.00	0.20	10.07	3.50
0.01	0.00	0.00	0.20	10.07	3.50
0.02	0.00	0.00	0.20	10.06	3.50
0.02	0.00	0.00	0.20	10.07	3.50
0.03	0.00	0.00	0.20	10.07	3.50
0.03	0.00	0.00	0.20	10.06	3.51
0.04	0.00	0.00	0.21	10.06	3.51
0.04	0.00	0.00	0.21	10.06	3.51
0.05	0.00	0.00	0.21	10.05	3.52
0.06	0.00	0.00	0.21	10.06	3.51
0.06	0.00	0.00	0.21	10.05	3.52
0.07	0.00	0.00	0.22	10.06	3.52
0.07	0.00	0.00	0.22	10.05	3.52
0.08	0.00	0.00	0.22	10.05	3.52
0.08	0.00	0.00	0.22	10.05	3.53
0.09	0.00	0.00	0.22	10.04	3.53
0.09	0.00	0.00	0.23	10.04	3.53
0.10	0.00	0.00	0.22	10.05	3.53
0.11	0.00	0.00	0.22	10.04	3.53
0.11	0.00	0.00	0.23	10.05	3.53
0.12	0.00	0.00	0.23	10.04	3.54
0.12	0.00	0.00	0.23	10.03	3.54
0.13	0.00	0.00	0.24	10.04	3.54
0.13	0.00	0.00	0.24	10.04	3.54
0.14	0.00	0.00	0.24	10.04	3.54
0.14	0.01	0.00	0.24	10.05	3.53
0.15	0.01	0.00	0.25	10.04	3.54
0.16	0.01	0.00	0.25	10.04	3.54
0.16	0.01	0.00	0.26	10.04	3.55
0.17	0.01	0.00	0.27	10.04	3.55
0.17	0.01	0.00	0.27	10.04	3.55
0.18	0.01	0.00	0.28	10.04	3.56
0.18	0.01	0.00	0.28	10.04	3.55
0.19	0.01	0.00	0.29	10.04	3.56
0.19	0.01	0.00	0.29	10.04	3.56
0.20	0.01	0.00	0.30	10.03	3.57
0.21	0.01	0.00	0.31	10.04	3.56
0.21	0.01	0.00	0.31	10.03	3.57
0.22	0.01	0.00	0.32	10.04	3.57
0.22	0.01	0.00	0.33	10.04	3.57
0.23	0.01	0.00	0.33	10.04	3.57
0.23	0.01	0.00	0.34	10.04	3.57
0.24	0.01	0.00	0.34	10.04	3.57
0.24	0.01	0.00	0.35	10.04	3.58
0.25	0.01	0.00	0.35	10.04	3.58
0.26	0.01	0.00	0.36	10.03	3.59
0.26	0.01	0.00	0.37	10.03	3.59
0.27	0.01	0.00	0.37	10.03	3.60
0.27	0.01	0.00	0.38	10.03	3.60
0.28	0.01	0.00	0.38	10.03	3.60
0.28	0.01	0.00	0.40	10.03	3.60
0.29	0.01	0.00	0.40	10.04	3.60
0.29	0.01	0.00	0.40	10.03	3.60
